season,week,celebrity,vote_share_mean,vote_share_median,vote_share_std,vote_share_q05,vote_share_q95
2,1,Jerry Rice,0.15807159516020006,0.10855383472716676,0.13958322703341977,0.030137657782692614,0.465861187081063
2,1,Master P,0.10547096348466337,0.09478892667121908,0.08281163618134692,0.01391513912126623,0.26526339158191364
2,1,Stacy Keibler,0.10428490717861261,0.0939497239564705,0.08421992121211647,0.013717492964159146,0.2532378183871634
2,1,Drew Lachey,0.10077601297814856,0.09377410488263972,0.07954558220165618,0.011862381566287937,0.223146124426726
2,1,George Hamilton,0.09268711745368795,0.08921141153365325,0.06784588402409535,0.01233038724314867,0.1984326114750417
2,1,Kenny Mayne,0.09044514089594177,0.08688334068548347,0.06741630064191727,0.009985288386052603,0.19246257202169148
2,1,Tatum O'Neal,0.08810291998557222,0.08653469086171237,0.06263150179390599,0.010124754062684751,0.18678442046465268
2,1,Tia Carrere,0.08777217436841894,0.0870875375336597,0.061993960681417735,0.009364406566391831,0.1838303928571441
2,1,Giselle Fernandez,0.08721937661349333,0.08513279721489517,0.06338735433129818,0.010439089457391922,0.18265883253765405
2,1,Lisa Rinna,0.08516979188126121,0.0844386971025485,0.058435973774889634,0.00942177804022663,0.1803043199726775
2,2,Jerry Rice,0.17213556648312842,0.12076392228040894,0.1461417094203697,0.03465113908301377,0.5007069242683113
2,2,Master P,0.1157350945424115,0.10544715684140515,0.08815197061915625,0.015266095989388969,0.28180700188963204
2,2,Stacy Keibler,0.11476176347334986,0.10428840087881888,0.0903250819234937,0.014838818567947503,0.28026745855631313
2,2,Drew Lachey,0.11084820968177832,0.10425479689124945,0.08543240581485177,0.013549795521508298,0.24574743782216385
2,2,George Hamilton,0.1021270850213202,0.0989428916943601,0.07295055849790039,0.013223058286315117,0.21618712393595027
2,2,Tatum O'Neal,0.09709960279167663,0.09584746908448397,0.06779284964460194,0.01111403220558807,0.20521041321120068
2,2,Tia Carrere,0.09687957644720564,0.09670355383262585,0.06737596726620698,0.010301772138574444,0.20114497992702626
2,2,Giselle Fernandez,0.09613264820719981,0.0941278107249694,0.06823295767272772,0.0116189505168951,0.20025393020712326
2,2,Lisa Rinna,0.0942804533519194,0.09382781571734898,0.06440198017813775,0.01030882332796282,0.1987054831114952
2,2,Kenny Mayne,1.0220402476396601e-14,8.903808030669856e-15,1.4984726756466977e-14,9.438098700460883e-16,2.2302275399545103e-14
2,3,Jerry Rice,0.188737405724841,0.1360203270240426,0.15292727680150256,0.03790639895350259,0.5339621012722495
2,3,Master P,0.12787687410677462,0.11810624294623329,0.09374226178349665,0.017052493209338715,0.3076609403964062
2,3,Stacy Keibler,0.12715927506706468,0.11712684206054852,0.0966270585153255,0.015964263599478473,0.30234613502739943
2,3,Drew Lachey,0.1230531383709727,0.1166622206291906,0.09124810970331407,0.014835137471701842,0.2721226796311685
2,3,George Hamilton,0.11340033794553837,0.11140659847331238,0.07883518010766519,0.014224737883307347,0.2365148983262794
2,3,Tia Carrere,0.10800615504658055,0.10845945356053621,0.07405763388124169,0.01092541114624674,0.22134394112817005
2,3,Giselle Fernandez,0.10676779712404932,0.10590073799329563,0.07411567448007132,0.01251369109270323,0.21801271393925226
2,3,Lisa Rinna,0.10499901661415632,0.10500366789841731,0.07089465089313507,0.01123092778872589,0.21957466909004184
2,3,Kenny Mayne,1.1420781863596805e-14,9.968758518074129e-15,1.641055925125799e-14,1.0442792841013454e-15,2.460807998054618e-14
2,3,Tatum O'Neal,1.0992687039354678e-14,9.919835997874028e-15,1.566119203432172e-14,1.0516978340357236e-15,2.416088122997844e-14
2,4,Jerry Rice,0.20915820769186436,0.15483255559445153,0.16084521660883025,0.04255192849704736,0.5769716939054508
2,4,Master P,0.14321297099250296,0.13426188880001225,0.10189034537618745,0.018553881022103782,0.3375610718973717
2,4,Stacy Keibler,0.14233860866992115,0.1329386024571377,0.10437444244900211,0.01812417807513448,0.33006565570482715
2,4,Drew Lachey,0.1381050756565512,0.1318941203512151,0.09965670617553861,0.016292004154720145,0.3043564539677804
2,4,George Hamilton,0.12726656115610893,0.12576581959001257,0.08625680324646368,0.01620541750299285,0.26529834330329405
2,4,Tia Carrere,0.12144317377004195,0.12261540671307296,0.08125426704235156,0.012449446662079916,0.2495874479063169
2,4,Lisa Rinna,0.11847540206297177,0.11897680668954533,0.07944912558198147,0.012212305566480524,0.24346342344263294
2,4,Kenny Mayne,1.2920787545652006e-14,1.1259811420225709e-14,1.844413177335259e-14,1.1671765059233333e-15,2.7991387219320613e-14
2,4,Tatum O'Neal,1.2443293683582985e-14,1.1229045626754899e-14,1.8574605423629644e-14,1.1420777576410994e-15,2.7267227436282308e-14
2,4,Giselle Fernandez,1.229097559213789e-14,1.108354767339714e-14,1.5263285670122406e-14,1.1858230788446442e-15,2.6088414912713658e-14
2,5,Jerry Rice,0.24413553887865894,0.1818009894574746,0.17897026647253486,0.051307524538693784,0.6605104922938123
2,5,Stacy Keibler,0.16591242536498801,0.15590533393804146,0.11559951494509899,0.02164321943058879,0.38076244079118693
2,5,Drew Lachey,0.16101581192711198,0.15533337490492952,0.11047264023759241,0.01902977855779188,0.3542968750172148
2,5,George Hamilton,0.1486015957176915,0.1478555640899909,0.096590157885953,0.018805759485839204,0.3088794548947131
2,5,Tia Carrere,0.14189780733018442,0.14409590901859026,0.09176465900413747,0.015187469912384132,0.2934464832522865
2,5,Lisa Rinna,0.13843682078130212,0.13950870663176,0.08987250074540461,0.015139872050945156,0.2836180496894752
2,5,Master P,1.824797850975112e-14,1.4512150021587684e-14,2.572012538444866e-14,1.769024880263132e-15,4.768396650201552e-14
2,5,Kenny Mayne,1.5253773424088695e-14,1.3301791221480537e-14,2.104151045407945e-14,1.4054339477562328e-15,3.414618163526465e-14
2,5,Giselle Fernandez,1.4871197759601943e-14,1.2928481605066248e-14,2.880875881141159e-14,1.358729824569568e-15,3.1382227327411144e-14
2,5,Tatum O'Neal,1.4645773984259634e-14,1.328437234713736e-14,2.089524625670934e-14,1.3386907158211872e-15,3.270105907156506e-14
2,6,Jerry Rice,0.28019707797340226,0.21641082461212371,0.18858556092853065,0.061272436229008735,0.7138921548538822
2,6,Stacy Keibler,0.19346882681350824,0.1850282357743688,0.12775843229364944,0.025393464011297075,0.4277384177624371
2,6,Drew Lachey,0.18839288711470212,0.1852996343405438,0.12281786018263442,0.021734088046945384,0.40687102113875384
2,6,George Hamilton,0.17474740279653417,0.1763548824304364,0.10929877214466155,0.021729872755377303,0.3600588121508535
2,6,Lisa Rinna,0.16319380530176034,0.16530138249725274,0.10344415701581179,0.016994905581232143,0.3317808595644347
2,6,Master P,2.152643932227975e-14,1.7198363895518096e-14,2.9709003949852494e-14,1.9735004421249133e-15,5.5537963126785425e-14
2,6,Kenny Mayne,1.821295280886766e-14,1.5773643944590018e-14,2.582593640612835e-14,1.512797187536027e-15,4.018239122904249e-14
2,6,Tia Carrere,1.804038439365369e-14,1.5754045466423287e-14,4.969348068278951e-14,1.4431032699563601e-15,3.886417395680931e-14
2,6,Giselle Fernandez,1.7608443460282623e-14,1.5359727691931858e-14,3.214940770812443e-14,1.5259402878991974e-15,3.7812083971092365e-14
2,6,Tatum O'Neal,1.7449428316050946e-14,1.5779191624365165e-14,2.4388349020310633e-14,1.464932709186936e-15,3.870719300440601e-14
2,7,Jerry Rice,0.33446349720242363,0.27014227281589204,0.2019017431385041,0.08076267723695049,0.7886734815506407
2,7,Stacy Keibler,0.23566530460289015,0.2316633024693587,0.14642509413281174,0.030188922900354517,0.512091504573964
2,7,Drew Lachey,0.22967547100136831,0.23124773648083946,0.14049072622060188,0.02611002195515458,0.4804165142409829
2,7,Lisa Rinna,0.2001957271931767,0.20637216152304622,0.12215497006609292,0.019794917247993576,0.40199547072518643
2,7,Master P,2.680621777335648e-14,2.1314934479710767e-14,4.046980483118592e-14,2.3044772203117385e-15,7.012909765795228e-14
2,7,George Hamilton,2.4524851422876133e-14,2.0036086702209924e-14,6.562073820813039e-14,2.0785665649795164e-15,5.26500665453397e-14
2,7,Tia Carrere,2.3450220623610994e-14,1.9402589973695946e-14,1.1023837707884515e-13,1.6889585730971734e-15,4.837300161105581e-14
2,7,Kenny Mayne,2.26225935997174e-14,1.9540824686802216e-14,3.0773481303926444e-14,1.7665429577832267e-15,5.040207559762143e-14
2,7,Giselle Fernandez,2.193744839091958e-14,1.912169474416639e-14,3.810755009458469e-14,1.7701682719636005e-15,4.811715225274701e-14
2,7,Tatum O'Neal,2.1865383847905182e-14,1.946500440503804e-14,3.414174711172894e-14,1.7201338962848232e-15,4.7765252460057815e-14
2,8,Jerry Rice,0.40944845472338137,0.3529229940139996,0.21127454189984485,0.10395992583920113,0.8538730366770153
2,8,Stacy Keibler,0.2990197670476077,0.30469677042688736,0.17229005842008813,0.03524202629087324,0.6222429554874359
2,8,Drew Lachey,0.2915317782287989,0.30146602726031285,0.16639274179541247,0.029953538938911107,0.5872396352471899
2,8,Master P,3.464005121427969e-14,2.7646123953193593e-14,5.3844158406363845e-14,2.7907179249531895e-15,8.640960047208513e-14
2,8,George Hamilton,3.166570905974836e-14,2.6206107464599693e-14,7.460260341614904e-14,2.416832731044914e-15,6.774847906382852e-14
2,8,Tia Carrere,3.056514109242537e-14,2.494625438025841e-14,1.1656647198790872e-13,1.8640588413510556e-15,6.429346141316127e-14
2,8,Kenny Mayne,2.994261983895152e-14,2.5217444490267932e-14,4.4424354183652076e-14,2.022040902962198e-15,6.872252203568015e-14
2,8,Giselle Fernandez,2.8985769365801443e-14,2.472768973680793e-14,5.295651540986803e-14,1.915157929271875e-15,6.434989149359072e-14
2,8,Tatum O'Neal,2.859314968882835e-14,2.5051426956332283e-14,4.693084431142784e-14,1.9881404564136343e-15,6.309361244195057e-14
2,8,Lisa Rinna,2.7644178985292974e-14,2.433323012741797e-14,3.3798575284357494e-14,1.889741456680353e-15,6.290457784659668e-14
2,9,Jerry Rice,0.15807159516020008,0.10855383472716676,0.13958322703341977,0.03013765778269259,0.4658611870810629
2,9,Master P,0.10547096348466335,0.09478892667121894,0.08281163618134692,0.013915139121266244,0.26526339158191337
2,9,Stacy Keibler,0.10428490717861261,0.09394972395647065,0.08421992121211647,0.013717492964159124,0.25323781838716325
2,9,Drew Lachey,0.10077601297814856,0.09377410488263979,0.07954558220165618,0.011862381566287907,0.22314612442672593
2,9,George Hamilton,0.09268711745368795,0.0892114115336533,0.06784588402409535,0.012330387243148661,0.198432611475042
2,9,Kenny Mayne,0.09044514089594177,0.08688334068548348,0.06741630064191725,0.009985288386052626,0.19246257202169184
2,9,Tatum O'Neal,0.08810291998557224,0.08653469086171237,0.06263150179390599,0.010124754062684762,0.18678442046465277
2,9,Tia Carrere,0.08777217436841893,0.08708753753365962,0.06199396068141773,0.009364406566391849,0.18383039285714417
2,9,Giselle Fernandez,0.08721937661349333,0.08513279721489514,0.06338735433129819,0.010439089457391932,0.18265883253765386
2,9,Lisa Rinna,0.08516979188126121,0.08443869710254856,0.058435973774889634,0.009421778040226609,0.18030431997267754
2,10,Jerry Rice,0.15807159516020008,0.10855383472716676,0.13958322703341977,0.03013765778269259,0.4658611870810629
2,10,Master P,0.10547096348466335,0.09478892667121894,0.08281163618134692,0.013915139121266244,0.26526339158191337
2,10,Stacy Keibler,0.10428490717861261,0.09394972395647065,0.08421992121211647,0.013717492964159124,0.25323781838716325
2,10,Drew Lachey,0.10077601297814856,0.09377410488263979,0.07954558220165618,0.011862381566287907,0.22314612442672593
2,10,George Hamilton,0.09268711745368795,0.0892114115336533,0.06784588402409535,0.012330387243148661,0.198432611475042
2,10,Kenny Mayne,0.09044514089594177,0.08688334068548348,0.06741630064191725,0.009985288386052626,0.19246257202169184
2,10,Tatum O'Neal,0.08810291998557224,0.08653469086171237,0.06263150179390599,0.010124754062684762,0.18678442046465277
2,10,Tia Carrere,0.08777217436841893,0.08708753753365962,0.06199396068141773,0.009364406566391849,0.18383039285714417
2,10,Giselle Fernandez,0.08721937661349333,0.08513279721489514,0.06338735433129819,0.010439089457391932,0.18265883253765386
2,10,Lisa Rinna,0.08516979188126121,0.08443869710254856,0.058435973774889634,0.009421778040226609,0.18030431997267754
2,11,Jerry Rice,0.15807159516020008,0.10855383472716676,0.13958322703341977,0.03013765778269259,0.4658611870810629
2,11,Master P,0.10547096348466335,0.09478892667121894,0.08281163618134692,0.013915139121266244,0.26526339158191337
2,11,Stacy Keibler,0.10428490717861261,0.09394972395647065,0.08421992121211647,0.013717492964159124,0.25323781838716325
2,11,Drew Lachey,0.10077601297814856,0.09377410488263979,0.07954558220165618,0.011862381566287907,0.22314612442672593
2,11,George Hamilton,0.09268711745368795,0.0892114115336533,0.06784588402409535,0.012330387243148661,0.198432611475042
2,11,Kenny Mayne,0.09044514089594177,0.08688334068548348,0.06741630064191725,0.009985288386052626,0.19246257202169184
2,11,Tatum O'Neal,0.08810291998557224,0.08653469086171237,0.06263150179390599,0.010124754062684762,0.18678442046465277
2,11,Tia Carrere,0.08777217436841893,0.08708753753365962,0.06199396068141773,0.009364406566391849,0.18383039285714417
2,11,Giselle Fernandez,0.08721937661349333,0.08513279721489514,0.06338735433129819,0.010439089457391932,0.18265883253765386
2,11,Lisa Rinna,0.08516979188126121,0.08443869710254856,0.058435973774889634,0.009421778040226609,0.18030431997267754
