season,week,celeb,fan_share,judge_score,judge_z
5,1,Cameron Mathison,0.07496903320206873,21.0,-0.14815221268381257
5,1,Jane Seymour,0.07952966176596905,24.0,0.9185437186396349
5,1,Sabrina Bryan,0.07182805919755074,26.0,1.6296743395219333
5,1,Jennie Garth,0.07452080756909425,21.0,-0.14815221268381257
5,1,Floyd Mayweather Jr. ,0.07641559698826489,18.0,-1.21484814400726
5,1,Josie Maran,0.0763021418978028,16.0,-1.9259787648895583
5,1,Albert Reed,0.07467907466008838,21.0,-0.14815221268381257
5,1,Helio Castroneves,0.08708151791171857,25.0,1.2741090290807842
5,1,Mel B,0.08401730093310333,24.0,0.9185437186396349
5,1,Wayne Newton,0.0793972438218705,19.0,-0.8592828335661109
5,1,Marie Osmond,0.14176564306451933,21.0,-0.14815221268381257
5,1,Mark Cuban,0.07949391898794941,21.0,-0.14815221268381257
5,2,Cameron Mathison,0.08134843047712705,21.0,-0.19720265937554285
5,2,Jane Seymour,0.08607860020266257,21.0,-0.19720265937554285
5,2,Sabrina Bryan,0.07814756129704602,26.0,1.3522468071465787
5,2,Jennie Garth,0.08074554298596238,21.0,-0.19720265937554285
5,2,Floyd Mayweather Jr. ,0.08287808672865674,21.0,-0.19720265937554285
5,2,Albert Reed,0.08106642414921962,21.0,-0.19720265937554285
5,2,Helio Castroneves,0.09429089985111012,27.0,1.662136700451003
5,2,Mel B,0.09101041256846529,23.0,0.42257712723330576
5,2,Wayne Newton,0.08593093036915254,15.0,-2.0565420192020887
5,2,Marie Osmond,0.15242266805499438,24.0,0.73246702053773
5,2,Mark Cuban,0.0860804433156033,18.0,-1.1268723392888158
5,3,Cameron Mathison,0.08877728526750733,23.0,-0.28912165469857626
5,3,Jane Seymour,0.09384149482604108,27.0,0.995863477295098
5,3,Sabrina Bryan,0.08533742108636136,27.0,0.995863477295098
5,3,Jennie Garth,0.08809493484980899,26.0,0.6746171942966794
5,3,Floyd Mayweather Jr. ,0.09048614550801601,21.0,-0.9316142206954134
5,3,Helio Castroneves,0.10263344792261982,24.0,0.03212462829984231
5,3,Mel B,0.09917196603717268,27.0,0.995863477295098
5,3,Wayne Newton,0.0936048076037449,18.0,-1.895353069690669
5,3,Marie Osmond,0.16438095646265796,26.0,0.6746171942966794
5,3,Mark Cuban,0.09367154043606983,20.0,-1.252860503693832
5,4,Cameron Mathison,0.09818311846795515,27.0,0.4522670166620999
5,4,Jane Seymour,0.10391020070034376,26.0,0.0
5,4,Sabrina Bryan,0.09449690382329012,30.0,1.8090680666483996
5,4,Jennie Garth,0.09737153587575494,27.0,0.4522670166620999
5,4,Floyd Mayweather Jr. ,0.10004348249266616,23.0,-1.3568010499862997
5,4,Helio Castroneves,0.11312680276112114,27.0,0.4522670166620999
5,4,Mel B,0.1094699429243494,26.0,0.0
5,4,Marie Osmond,0.17981205035714393,26.0,0.0
5,4,Mark Cuban,0.10358596259737535,22.0,-1.8090680666483996
5,5,Cameron Mathison,0.10965688770213089,26.0,0.4012901657177977
5,5,Jane Seymour,0.11587301183760593,26.0,0.4012901657177977
5,5,Sabrina Bryan,0.1055867543555044,28.0,1.1146949047716601
5,5,Jennie Garth,0.10851657716605365,25.0,0.044587796190866405
5,5,Helio Castroneves,0.1257274824788407,23.0,-0.6688169428629961
5,5,Mel B,0.12179812125897915,29.0,1.4713972742985915
5,5,Marie Osmond,0.19725056585259856,21.0,-1.3822216819168587
5,5,Mark Cuban,0.11559059934828673,21.0,-1.3822216819168587
5,6,Cameron Mathison,0.12424083780181518,25.0,-0.27441064986880453
5,6,Jane Seymour,0.13147802922064275,22.0,-1.4269353793177821
5,6,Sabrina Bryan,0.11983267065679211,25.0,-0.27441064986880453
5,6,Jennie Garth,0.12319817930469887,27.0,0.4939391697638471
5,6,Helio Castroneves,0.1427878268115473,28.0,0.878114079580173
5,6,Mel B,0.1376774956035575,30.0,1.6464638992128247
5,6,Marie Osmond,0.22078496060094638,23.0,-1.0427604695014563
5,7,Cameron Mathison,0.14222287393379776,25.5,-0.7745966680414834
5,7,Jane Seymour,0.15026329543375747,25.0,-1.5491933360829668
5,7,Jennie Garth,0.14099396804058184,26.5,0.7745966680414834
5,7,Helio Castroneves,0.16254654488702988,26.0,0.0
5,7,Mel B,0.15689816125531145,27.0,1.5491933360829668
5,7,Marie Osmond,0.2470751564495215,26.0,0.0
5,8,Cameron Mathison,0.16881425792212187,25.5,-0.4905114712872212
5,8,Jennie Garth,0.16673854955285913,25.0,-0.7970811408417342
5,8,Helio Castroneves,0.19228135310044406,28.5,1.3489065460398566
5,8,Mel B,0.1853736758495325,28.0,1.0423368764853438
5,8,Marie Osmond,0.2867921635750424,24.5,-1.1036508103962472
5,9,Jennie Garth,0.203457582516953,29.0,-0.3015113442141273
5,9,Helio Castroneves,0.23308472429915075,30.0,0.9045340326423819
5,9,Mel B,0.2242862894213586,30.0,0.9045340326423819
5,9,Marie Osmond,0.3391714037625376,28.0,-1.5075567210706364
5,10,Helio Castroneves,0.29588419335327076,27.999900000000004,0.6376879691712132
5,10,Mel B,0.28551627907018945,28.333199999999998,0.7743236783329762
5,10,Marie Osmond,0.41859952757653984,23.0,-1.4120116475041893
