season,week,celebrity,vote_share_mean,vote_share_median,vote_share_std,vote_share_q05,vote_share_q95
1,1,Kelly Monaco,0.18973660898521455,0.1668738533199804,0.12351746239863921,0.03950404632952285,0.4443961884352637
1,1,John O'Hurley,0.18490844084644179,0.16608346156528256,0.12013961020735354,0.035445398143788165,0.41747359924744637
1,1,Joey McIntyre,0.16399069434941457,0.15842698738679523,0.09753682550629779,0.03228100937567546,0.3376238350148645
1,1,Evander Holyfield,0.16126765560156994,0.15768256149476642,0.09757067108238153,0.02774853877626327,0.322798518169183
1,1,Trista Sutter,0.15155520608730624,0.1499576172172052,0.09079185799648162,0.0263193388879035,0.3003689023244332
1,1,Rachel Hunter,0.14854139413005293,0.14850968609202764,0.09042084008001369,0.024054899805577252,0.2920845676465929
1,2,Kelly Monaco,0.18973660898521455,0.1668738533199804,0.12351746239863921,0.03950404632952285,0.4443961884352637
1,2,John O'Hurley,0.18490844084644179,0.16608346156528256,0.12013961020735354,0.035445398143788165,0.41747359924744637
1,2,Joey McIntyre,0.16399069434941457,0.15842698738679523,0.09753682550629779,0.03228100937567546,0.3376238350148645
1,2,Evander Holyfield,0.16126765560156994,0.15768256149476642,0.09757067108238153,0.02774853877626327,0.322798518169183
1,2,Trista Sutter,0.15155520608730624,0.1499576172172052,0.09079185799648162,0.0263193388879035,0.3003689023244332
1,2,Rachel Hunter,0.14854139413005293,0.14850968609202764,0.09042084008001369,0.024054899805577252,0.2920845676465929
1,3,Kelly Monaco,0.2225134348023023,0.19968376088183798,0.13566987773729133,0.04792553985087503,0.5033302932942991
1,3,John O'Hurley,0.21726113542223635,0.1985745949352522,0.13174721829035393,0.04234370916101589,0.4740484738233573
1,3,Joey McIntyre,0.19368277904821915,0.1892354426922514,0.10998424176112251,0.037147537359086276,0.3883307567763101
1,3,Evander Holyfield,0.19050817547526677,0.18851936719471746,0.11024194473840217,0.03406782897482121,0.3784871751701506
1,3,Rachel Hunter,0.17603447525195667,0.17753694534416742,0.10353306304764967,0.026507574640973704,0.34266404102473247
1,3,Trista Sutter,1.8811330484282102e-14,1.6507963320915518e-14,2.5460014433206172e-14,2.529438044539808e-15,4.017458588318719e-14
