season,week,celeb,fan_share,judge_score,judge_z
1,1,John O'Hurley,0.1839476323349964,20.0,0.7399400730973007
1,1,Kelly Monaco,0.19328880665452844,13.0,-2.08528566054694
1,1,Evander Holyfield,0.1624701466450107,18.0,-0.0672672793724824
1,1,Rachel Hunter,0.14716303088509658,20.0,0.7399400730973007
1,1,Joey McIntyre,0.16458588908172406,20.0,0.7399400730973007
1,1,Trista Sutter,0.1485444943986438,18.0,-0.0672672793724824
1,2,John O'Hurley,0.1839476323349964,26.0,1.4372777337639364
1,2,Kelly Monaco,0.19328880665452844,17.0,-0.7802364840432803
1,2,Evander Holyfield,0.1624701466450107,14.0,-1.519407889979019
1,2,Rachel Hunter,0.14716303088509658,24.0,0.9444967964734439
1,2,Joey McIntyre,0.16458588908172406,21.0,0.20532539053770496
1,2,Trista Sutter,0.1485444943986438,19.0,-0.2874555467527876
1,3,John O'Hurley,0.2152726349031096,24.0,0.6298897787904862
1,3,Kelly Monaco,0.22560866225136997,21.0,-0.04499212705646313
1,3,Evander Holyfield,0.1916286400579402,13.0,-1.8446772093149948
1,3,Rachel Hunter,0.1738280037579791,26.0,1.0798110493551192
1,3,Joey McIntyre,0.19366205902960096,22.0,0.17996850822585334
1,4,John O'Hurley,0.2651044655927944,21.0,-0.7844645402450439
1,4,Kelly Monaco,0.2776617658603688,26.0,1.1766968103675657
1,4,Rachel Hunter,0.2167610278111534,25.0,0.7844645402450439
1,4,Joey McIntyre,0.24047274073568345,20.0,-1.1766968103675657
1,5,John O'Hurley,0.33804164519234936,27.0,1.3821894802137586
1,5,Kelly Monaco,0.35321011927038404,23.5,-0.4319342125667988
1,5,Joey McIntyre,0.30874823553726655,22.5,-0.9502552676469581
1,6,John O'Hurley,0.4895644010451803,27.0,-0.9999999959999999
1,6,Kelly Monaco,0.5104355989548196,27.5,0.9999999959999999
